RSK,RSKF,VPM,TMK,UPM,TXK,TNK,TGK,evapo_p,evapo_r,soil_moist
0,0,90,11.7,6600,16.8,7.1,4.4,16.9300699300699,14.1468531468531,98.8531468531469
0,0,94,7.6,9000,8.4,7,4.7,5,4,98
3.3,4,90,7,9000,9.9,5,3.1,5.94405594405594,5.65734265734266,99
0,0,84,7,8400,11.5,3.3,0.9,9.08391608391608,8,98
0,0,68,5.1,7800,9.2,1.7,-0.1,10,8.41258741258741,97.8741258741259
0,0,56,5.3,6400,11.1,0.1,-1.4,17.0909090909091,14.1958041958042,96.7552447552448
0,0,70,8,6600,14.6,2.3,-0.5,19.0489510489511,16,95.3006993006993
4.8,4,78,9,6800,13.3,5.1,3.7,15.1398601398601,12.979020979021,95
10.8,4,97,7.6,9300,8.5,7,6.5,8.90909090909091,8.52447552447553,103.160839160839
2.1,4,92,7.5,8800,9.3,6.1,3.2,7,7,104.027972027972
1.8,4,111,10.1,9000,11.8,7.5,7.1,7.61538461538461,7.40559440559441,104.699300699301
0,4,105,13.2,7000,17.4,9.2,6.3,21.2237762237762,19.7272727272727,102.153846153846
5.5,4,116,12.9,7800,17.4,10.2,8.4,15.1678321678322,15.1538461538462,103.132867132867
1.1,4,88,8.8,7700,10.8,5,2.3,12.986013986014,12.986013986014,102.216783216783
3.3,4,78,9.2,6800,13.9,3.1,0.7,15.2727272727273,14.5524475524476,100.587412587413
0,0,110,11,8400,14.2,8.8,6.2,11.1468531468531,11,100.034965034965
0,0,99,12.4,7000,16.8,8.2,6,15,14,98.9230769230769
0,0,103,14,6500,19.3,9,5.8,19,17,97.1258741258741
0,0,100,10.8,7700,12.5,9.5,7.7,13.965034965035,12,96.6013986013986
12.4,4,106,11,8100,15.2,6.6,6.6,12.8531468531469,12,97.972027972028
6.1,4,76,6.1,8100,9.8,2.8,1.5,17.3076923076923,17.3006993006993,100
6.5,4,79,5.7,8600,8,3.7,3.1,16.965034965035,16.8671328671329,103.370629370629
0,0,67,7.3,6800,12.1,3,1.2,18.3776223776224,18,101.804195804196
0,0,70,9.3,6000,13.7,4.2,2.1,18.8741258741259,17.986013986014,100.027972027972
0,4,85,9.3,7200,11.1,7.6,4.7,11.4895104895105,11,99.1748251748252
3.2,4,78,8.7,7000,12.9,6.3,3.9,20.013986013986,19.986013986014,100.118881118881
0.4,4,96,11.1,7200,15.4,6.9,6,16.2867132867133,16.2517482517483,100.517482517483
0.7,4,103,12.1,7500,18.6,8,4.8,14.027972027972,13.951048951049,99.5454545454545
2.8,4,105,12.2,7500,18.4,7.9,5,21,21,100.41958041958
8.3,4,103,10.4,8200,12.3,8.9,7.1,12.3356643356643,12.3356643356643,105.468531468531
4,4,98,9.8,8000,12.5,8.2,6.5,16.7272727272727,16.6923076923077,104.643356643357
